"","year","month","day","hour","generation.biomass","generation.fossil.brown.coal.lignite","generation.fossil.gas","generation.fossil.hard.coal","generation.fossil.oil","generation.hydro.pumped.storage.consumption","generation.hydro.run.of.river.and.poundage","generation.hydro.water.reservoir","generation.nuclear","generation.other","generation.other.renewable","generation.solar","generation.waste","generation.wind.onshore","total.load.actual","price.actual"
"1","2015","01","01",1,447,329,4844,4821,162,863,1051,1899,7096,43,73,49,196,6378,25385,65.41
"2","2015","01","01",2,449,328,5196,4755,158,920,1009,1658,7096,43,71,50,195,5890,24382,64.92
"3","2015","01","01",3,448,323,4857,4581,157,1164,973,1371,7099,43,73,50,196,5461,22734,64.48
"4","2015","01","01",4,438,254,4314,4131,160,1503,949,779,7098,43,75,50,191,5238,21286,59.32
"5","2015","01","01",5,428,187,4130,3840,156,1826,953,720,7097,43,74,42,189,4935,20264,56.04
"6","2015","01","01",6,410,178,4038,3590,156,2109,952,743,7098,43,74,34,188,4618,19905,53.63
"7","2015","01","01",7,401,172,4040,3368,158,2108,961,848,7098,43,74,34,186,4397,20010,51.73
"8","2015","01","01",8,408,172,4030,3208,160,2031,983,1012,7099,43,72,35,189,3992,20377,51.43
"9","2015","01","01",9,413,177,4052,3335,161,2119,1001,1015,7098,43,73,54,198,3629,20094,48.98
"10","2015","01","01",10,419,177,4137,3437,163,2170,1041,1357,7097,43,74,743,198,3073,20637,54.2
"11","2015","01","01",11,422,173,4059,3516,167,2020,1041,1817,7096,43,72,2019,204,2683,22250,58.94
"12","2015","01","01",12,421,226,3931,3845,166,1183,1069,1516,7097,42,73,3197,206,2771,23547,59.86
"13","2015","01","01",13,428,303,3784,4220,167,972,1052,1204,7097,41,75,3885,209,2906,24133,60.12
"14","2015","01","01",14,425,288,3754,4404,167,922,1041,1286,7099,40,74,4007,210,2923,24713,62.05
"15","2015","01","01",15,423,260,3779,4256,166,941,1028,1027,7097,40,76,3973,210,2945,24672,62.06
"16","2015","01","01",16,421,183,3708,4038,160,1069,1023,1151,7096,40,76,3818,210,2709,23528,59.76
"17","2015","01","01",17,422,256,3813,4191,163,970,1032,1156,7095,41,75,3088,211,2552,23118,61.18
"18","2015","01","01",18,426,322,3967,4707,165,798,1036,1626,7095,41,75,1467,208,2699,23606,64.74
"19","2015","01","01",19,427,282,4756,4756,164,1,1094,3203,7096,42,74,404,209,2764,26447,74.26
"20","2015","01","01",20,442,303,4410,4918,147,1,1153,5333,7096,42,76,139,208,2913,28020,74.24
"21","2015","01","01",21,445,318,4324,5025,154,0,1214,6183,7096,43,74,100,210,3118,29014,75.64
"22","2015","01","01",22,443,325,4684,5043,154,0,1220,6231,7096,43,74,75,212,3373,29571,73.92
"23","2015","01","01",23,440,322,4870,4990,154,0,1178,5359,7098,43,74,74,210,3508,29031,70.53
"24","2015","01","01",24,438,320,4685,4942,160,0,1095,3511,7098,43,74,56,209,3527,26798,64.13
"25","2015","01","02",1,368,0,3189,1291,193,1290,1268,3871,7106,45,62,54,169,13232,27070,64.02
"26","2015","01","02",2,368,0,2902,1190,192,1996,1263,2996,7106,45,61,54,167,12760,24935,58.46
"27","2015","01","02",3,358,0,2772,1023,189,2698,1246,2581,7107,44,60,54,167,12174,23214,54.7
"28","2015","01","02",4,353,0,2936,1016,188,3269,1248,2933,7107,44,59,53,181,11358,22540,54.91
"29","2015","01","02",5,354,0,2893,1103,189,3267,1233,2646,7106,44,61,53,181,11199,22096,53.07
"30","2015","01","02",6,354,0,2889,1120,190,3258,1225,2529,7105,44,59,63,171,11152,22066,54.23
"31","2015","01","02",7,357,0,2898,1167,189,3256,1241,2658,7105,44,60,55,185,11169,22275,58.22
"32","2015","01","02",8,357,0,2938,1067,194,2987,1247,2706,7105,44,60,54,186,11205,23025,67.55
"33","2015","01","02",9,359,0,2869,1098,196,2447,1274,3090,7105,44,59,116,183,10920,23699,70.33
"34","2015","01","02",10,357,0,3090,1293,193,1907,1297,3579,7107,44,59,1039,188,10491,25834,71.26
"35","2015","01","02",11,377,0,2844,1339,200,938,1319,4289,7107,45,60,2373,185,10156,27927,75.86
"36","2015","01","02",12,376,0,2699,1335,199,747,1333,4332,7106,44,59,3699,181,10421,29072,73.65
"37","2015","01","02",13,376,0,2606,1336,197,864,1324,3619,7104,44,60,4154,177,11230,29071,74.19
"38","2015","01","02",14,373,0,2662,1341,208,906,1281,3392,7105,44,61,4074,183,11920,29439,71.51
"39","2015","01","02",15,383,0,2729,1354,195,1047,1281,3487,7105,44,58,3851,190,11819,29241,71.04
"40","2015","01","02",16,391,0,2599,1298,195,1491,1284,2984,7105,44,57,3619,188,11961,27973,71.24
"41","2015","01","02",17,395,0,2996,1184,195,1975,1283,3104,7106,44,59,3024,188,12025,27320,70.64
"42","2015","01","02",18,394,0,3696,1047,195,1760,1295,3102,7105,44,59,2053,185,12077,27157,72.85
"43","2015","01","02",19,410,0,4760,1178,199,595,1324,3886,7106,44,64,769,178,11276,29045,82.55
"44","2015","01","02",20,435,0,6030,1345,205,78,1352,5553,7104,44,68,266,199,10510,31967,83.33
"45","2015","01","02",21,435,0,5973,1354,214,68,1369,5604,7106,44,69,165,203,10406,33266,83.23
"46","2015","01","02",22,437,0,6082,1348,215,68,1370,5902,7107,45,69,137,204,10445,33668,79.06
"47","2015","01","02",23,437,0,5747,1429,217,68,1365,5347,7107,45,66,137,204,9976,32426,76.2
"48","2015","01","02",24,443,0,4177,1432,220,68,1323,4969,7108,45,64,137,203,9527,29705,71.75
"49","2015","01","03",1,478,0,3801,1798,246,502,1423,3719,7096,78,76,62,201,9264,25564,66.82
"50","2015","01","03",2,463,0,3812,1351,245,1048,1392,3482,7095,78,68,62,198,9135,23584,63.35
"51","2015","01","03",3,452,0,3745,1258,244,1880,1296,3060,7096,79,66,61,201,9362,22194,58.79
"52","2015","01","03",4,454,0,3638,1196,244,2441,1245,2474,7098,79,68,61,208,9628,21296,57.44
"53","2015","01","03",5,449,0,3515,1138,202,2767,1221,2266,7097,78,67,61,201,9607,21145,55.29
"54","2015","01","03",6,453,0,3626,1180,189,2953,1212,2449,7098,79,66,61,188,9666,21316,56.22
"55","2015","01","03",7,458,0,3556,1246,188,2744,1215,2620,7099,77,68,61,187,9743,21674,58.13
"56","2015","01","03",8,452,0,3524,1175,190,2279,1295,2559,7098,77,67,63,186,9401,22127,62.06
"57","2015","01","03",9,438,0,4000,1249,190,2152,1295,3335,7097,77,66,233,186,8363,22756,67.36
"58","2015","01","03",10,433,0,4157,1415,226,1081,1380,4229,7097,76,68,820,197,7924,24654,69.21
"59","2015","01","03",11,419,0,3960,1597,249,341,1421,4827,7097,76,68,1665,205,7592,26454,70.35
